pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
118.5,-50.875,90.0,top,ANG1,,,Molex_Pico-Clasp_2pin_Vertical,CONN HEADER SMD 2POS 1MM,smt,True
113.275,-50.875,90.0,top,ANG2,,,Molex_Pico-Clasp_2pin_Vertical,CONN HEADER SMD 2POS 1MM,smt,True
124.646,-50.919,90.0,top,ANG3,,,Molex_Pico-Clasp_2pin_Vertical,CONN HEADER SMD 2POS 1MM,smt,True
134.06,-49.515,0.0,top,BOARDLAYOUT1,,,enchantiS3-layout,LAYOUT,tht,False
104.93,-53.0352,180.0,top,BT1,B2B-PH-SM4-TBT,,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,JST-PH-1x02-2.000mm,smt,True
113.29,-60.35,-90.0,top,C1,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt,True
112.75,-64.43,-90.0,top,C11,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt,True
115.94,-64.45,-90.0,top,C12,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt,True
132.83,-60.44,-90.0,top,C13,CL10A105KO8NNNC,,C_0603_1608Metric,10uF,smt,True
105.22,-60.91,0.0,top,C15,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt,True
142.11,-52.38,-90.0,top,C17,,,C_0402_1005Metric,1uF,smt,True
145.6,-49.53,0.0,top,C18,,,C_0402_1005Metric,0.1uF,smt,True
131.59,-60.15,-90.0,top,C19,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt,True
114.68,-59.85,180.0,top,C2,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt,True
105.01,-67.02,180.0,top,C21,CL10A105KO8NNNC,,C_0603_1608Metric,10uF,smt,True
110.04,-65.03,0.0,top,C22,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt,True
108.92,-67.03,0.0,top,C23,CL10A105KO8NNNC,,C_0603_1608Metric,10uF,smt,True
149.18,-73.14,180.0,top,C3,CL05B104KO5NNNC,,C_0402_1005Metric,220nF,smt,True
114.45,-68.01,0.0,top,C4,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt,True
115.77,-66.6,90.0,top,C5,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt,True
114.68,-60.82,180.0,top,C6,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt,True
112.08,-60.56,-90.0,top,C7,CL05B104KO5NNNC,,C_0402_1005Metric,0.1uF,smt,True
109.02,-60.53,-90.0,top,C8,GRT155R61C474KE01D,,C_0402_1005Metric,0.47uF,smt,True
130.66,-58.26,-90.0,top,C9,CL05A105KO5NNNC,,C_0402_1005Metric,1uF,smt,True
98.665,-67.28,180.0,top,CHARGLED1,APHHS1005SURCK,,LED_0402_1005Metric,S1,smt,True
114.08,-71.3,180.0,top,FP1,,,Molex_Pico-Clasp_501331-0607_1x06-1MP_P1.00mm_Vertical,CONN HEADER SMD 6POS 1MM,smt,True
95.25,-52.07,0.0,top,H1,,,MountingHole_2.2mm_M2,MountingHole,tht,False
95.25,-69.85,0.0,top,H2,,,MountingHole_2.2mm_M2,MountingHole,tht,False
118.94,-66.03,0.0,top,H3,,,MountingHole_2.2mm_M2,MountingHole,tht,False
95.393,-60.9191,-90.0,top,J1,USB4105-GF-A,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0,smt,True
121.57,-50.874,-90.0,top,R1,ERJ-2RKF1001X,,R_0402_1005Metric,10k,smt,True
99.3,-51.9748,180.0,top,R10,ERJ-2RKF1001X,,R_0402_1005Metric,1k,smt,True
102.93,-64.27,180.0,top,R11,ERJ-2RKF2201X,,R_0402_1005Metric,13k,smt,True
123.92,-67.51,90.0,top,R12,ERJ-2RKF2201X,,R_0402_1005Metric,2k2,smt,True
122.25,-67.46,90.0,top,R13,ERJ-2RKF2201X,,R_0402_1005Metric,2k2,smt,True
110.17,-56.64,-90.0,top,R14,ERJ-2RKF1001X,,R_0402_1005Metric,1k,smt,True
102.93,-65.21,180.0,top,R15,ERJ-2RKF2201X,,R_0402_1005Metric,0.3k,smt,True
111.11,-56.64,-90.0,top,R16,ERJ-2RKF1001X,,R_0402_1005Metric,1k,smt,True
127.716,-50.934,-90.0,top,R2,ERJ-2RKF1001X,,R_0402_1005Metric,10k,smt,True
105.28,-62.57,0.0,top,R21,ERJ-2RKF1001X,,R_0402_1005Metric,10k,smt,True
101.71,-67.3,0.0,top,R3,ERJ-2RKF2201X,,R_0402_1005Metric,2k2,smt,True
148.28,-69.34,180.0,top,R4,ERJ-2RKF2201X,,R_0402_1005Metric,2k2,smt,True
131.61,-58.29,-90.0,top,R5,ERJ-2RKF1002X,,R_0402_1005Metric,10k,smt,True
102.4636,-63.3222,180.0,top,R6,ERJ-2RKF5101X,,R_0402_1005Metric,5k1,smt,True
101.9302,-59.0804,-90.0,top,R7,ERJ-2RKF5101X,,R_0402_1005Metric,5k1,smt,True
99.3,-53.9052,180.0,top,R8,ERJ-2RKF1001X,,R_0402_1005Metric,1k,smt,True
150.19,-69.34,0.0,top,R9,ERJ-2RKF2201X,,R_0402_1005Metric,2k2,smt,True
98.665,-54.8704,180.0,top,STATLED1,APHHS1005SURCK,,LED_0402_1005Metric,WIFISTATUS,smt,True
98.665,-52.94,180.0,top,STATLED2,APHHS1005SURCK,,LED_0402_1005Metric,GENERAL STATUS,smt,True
111.64,-55.22,180.0,top,STATLED3,APHHS1005SURCK,,LED_0402_1005Metric,TX_STAT,smt,True
111.64,-54.28,180.0,top,STATLED4,APHHS1005SURCK,,LED_0402_1005Metric,RX_STAT,smt,True
122.77,-61.46,180.0,top,SW1,PTS810 SJM 250 SMTR LFS,,SW_SPST_B3U-1000P,B3U-1000P,smt,True
122.77,-58.11,180.0,top,SW2,PTS810 SJM 250 SMTR LFS,,SW_SPST_B3U-1000P,B3U-1000P,smt,True
122.89,-71.405,180.0,top,TOUCH1,BM04B-SRSS-TB,,JST_SMD_1.0mm-4_Vertical,JST-SH-1x04 1.0mm,smt,True
110.05,-62.61,0.0,top,TP1,,,TestPoint_Pad_D1.0mm,TestPoint,tht,False
102.81,-61.12,0.0,top,U1,,,SOT-666,USBLC6-2P6,smt,True
110.55,-60.46,-90.0,top,U11,,,MAX17262,MAX17262REWL+T,smt,True
107.0697,-64.69,180.0,top,U12,,,WSON10_DLH_TEX,BQ25185DLHR,smt,True
144.4222,-51.570001,180.0,top,U13,,,LGA14_2P5X3X0P91_TDK,ICM-42670-P,smt,True
149.48,-71.24,90.0,top,U2,,,WLP-4_0.86x0.86mm_P0.4mm,MMC5633NJL,smt,True
143.13,-61.28999,0.0,top,U3,,,IRIS-W106,IRIS-W106-00B,smt,True
114.2536,-63.67385,180.0,top,U4,,,XDFN4_1X1_711AJ_ONS,NCP167AMX330TBG,smt,True
115.41,-57.11,0.0,top,U5,,,SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,CP2102N-Axx-xQFN20,smt,True
130.755,-65.62,90.0,top,U6,,,SOIC-8_3.9x4.9mm_P1.27mm,ESP-PSRAM64,smt,True
114.4464,-66.75385,180.0,top,U9,,,XDFN4_1X1_711AJ_ONS,NCP167AMX330TBG,smt,True
